## Tue Jul 25 22:27:11 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1129 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Synpcc7942_0839	1140.Synpcc7942_0839	1.35e-240	661.0	COG0388@1|root,COG0388@2|Bacteria,1G1UJ@1117|Cyanobacteria,1GZGB@1129|Synechococcus	1129|Synechococcus	S	Carbon-nitrogen hydrolase	-	-	3.5.5.1,3.5.5.7	ko:K01501,ko:K01502	ko00380,ko00460,ko00627,ko00643,ko00910,ko01120,map00380,map00460,map00627,map00643,map00910,map01120	-	R00540,R01887,R03093,R03542,R05358,R05591,R07855	RC00315,RC00325,RC00617,RC00959,RC01336,RC02811	ko00000,ko00001,ko01000	-	-	-	CN_hydrolase
Synpcc7942_0840	1140.Synpcc7942_0840	1.89e-115	330.0	COG2044@1|root,COG2044@2|Bacteria,1G3HT@1117|Cyanobacteria,1GZD4@1129|Synechococcus	1129|Synechococcus	S	TIGRFAM MSMEG_0572 family protein	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0841	1140.Synpcc7942_0841	0.0	917.0	COG2072@1|root,COG2072@2|Bacteria,1G32W@1117|Cyanobacteria,1GYBE@1129|Synechococcus	1129|Synechococcus	P	L-lysine 6-monooxygenase (NADPH-requiring)	-	-	-	ko:K07222	-	-	-	-	ko00000	-	-	-	Pyr_redox_3
Synpcc7942_0842	1140.Synpcc7942_0842	0.0	870.0	COG1249@1|root,COG1249@2|Bacteria,1G0W0@1117|Cyanobacteria,1GZP1@1129|Synechococcus	1129|Synechococcus	C	Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family	gor	-	1.8.1.7	ko:K00383	ko00480,ko04918,map00480,map04918	-	R00094,R00115	RC00011	ko00000,ko00001,ko01000	-	-	-	Pyr_redox_2,Pyr_redox_dim
Synpcc7942_0843	1140.Synpcc7942_0843	6.56e-92	269.0	2E3SY@1|root,32YQE@2|Bacteria,1G956@1117|Cyanobacteria,1H1ZK@1129|Synechococcus	1129|Synechococcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0844	1140.Synpcc7942_0844	9.09e-174	484.0	COG0613@1|root,COG0613@2|Bacteria,1G10R@1117|Cyanobacteria,1GYZQ@1129|Synechococcus	1129|Synechococcus	S	Metal-dependent phosphoesterases (PHP family)	-	-	-	-	-	-	-	-	-	-	-	-	PHP
Synpcc7942_0846	1140.Synpcc7942_0846	1.65e-203	562.0	COG0676@1|root,COG0676@2|Bacteria,1GBHV@1117|Cyanobacteria,1H4BJ@1129|Synechococcus	1129|Synechococcus	G	Aldose 1-epimerase	-	-	5.1.3.15	ko:K01792	ko00010,ko01100,ko01110,ko01120,ko01130,map00010,map01100,map01110,map01120,map01130	-	R02739	RC00563	ko00000,ko00001,ko01000	-	-	-	Aldose_epim
Synpcc7942_0847	1140.Synpcc7942_0847	1.14e-257	707.0	COG2805@1|root,COG2805@2|Bacteria,1G0V4@1117|Cyanobacteria,1GYBG@1129|Synechococcus	1129|Synechococcus	NU	COG2805 Tfp pilus assembly protein, pilus retraction ATPase PilT	-	-	-	ko:K02669	-	-	-	-	ko00000,ko02035,ko02044	3.A.15.2	-	-	T2SSE
Synpcc7942_0848	1140.Synpcc7942_0848	0.0	1999.0	COG0178@1|root,COG0178@2|Bacteria,1G0KM@1117|Cyanobacteria,1GYXX@1129|Synechococcus	1129|Synechococcus	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate	uvrA	-	-	ko:K03701	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	-
Synpcc7942_0849	1140.Synpcc7942_0849	5.71e-138	390.0	COG1981@1|root,COG1981@2|Bacteria,1G18U@1117|Cyanobacteria,1GYMN@1129|Synechococcus	1129|Synechococcus	S	membrane	-	-	-	ko:K08973	-	-	-	-	ko00000	-	-	-	UPF0093
Synpcc7942_0850	1140.Synpcc7942_0850	6e-41	134.0	2E3IW@1|root,32YHB@2|Bacteria,1G92G@1117|Cyanobacteria,1H155@1129|Synechococcus	1129|Synechococcus	S	Protein of unknown function (DUF2811)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2811
Synpcc7942_0851	1140.Synpcc7942_0851	6.25e-245	672.0	COG0150@1|root,COG0150@2|Bacteria,1G1WY@1117|Cyanobacteria,1GYQJ@1129|Synechococcus	1129|Synechococcus	F	Phosphoribosylformylglycinamidine cyclo-ligase	purM	-	6.3.3.1	ko:K01933	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04208	RC01100	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C
Synpcc7942_0853	1140.Synpcc7942_0853	1.47e-308	839.0	COG0436@1|root,COG0436@2|Bacteria,1G0NC@1117|Cyanobacteria,1GYP3@1129|Synechococcus	1129|Synechococcus	H	Involved in the synthesis of meso-diaminopimelate (m-DAP or DL-DAP), required for both lysine and peptidoglycan biosynthesis. Catalyzes the direct conversion of tetrahydrodipicolinate to LL-diaminopimelate	dapL	-	2.6.1.83	ko:K10206	ko00300,ko01100,ko01110,ko01130,ko01230,map00300,map01100,map01110,map01130,map01230	M00527	R07613	RC00006,RC01847	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_1_2
Synpcc7942_0854	1140.Synpcc7942_0854	0.0	1687.0	COG4354@1|root,COG4354@2|Bacteria,1G17U@1117|Cyanobacteria,1GZ5N@1129|Synechococcus	1129|Synechococcus	G	bile acid beta-glucosidase	-	-	3.2.1.45	ko:K17108	ko00511,ko00600,ko01100,map00511,map00600,map01100	-	R01498	RC00059,RC00451	ko00000,ko00001,ko01000	-	GH116	-	DUF608,Glyco_hydr_116N
Synpcc7942_0855	1140.Synpcc7942_0855	1.99e-300	819.0	COG0745@1|root,COG0745@2|Bacteria,1FZYI@1117|Cyanobacteria,1GZU7@1129|Synechococcus	1129|Synechococcus	T	cheY-homologous receiver domain	-	-	-	ko:K02657	ko02020,ko02025,map02020,map02025	M00507	-	-	ko00000,ko00001,ko00002,ko02022,ko02035,ko02044	-	-	-	DUF4388,Response_reg
Synpcc7942_0856	1140.Synpcc7942_0856	2.2e-79	236.0	COG0745@1|root,COG0745@2|Bacteria,1G6MP@1117|Cyanobacteria,1H0UJ@1129|Synechococcus	1129|Synechococcus	T	response regulator	-	-	-	ko:K02658	ko02020,ko02025,map02020,map02025	M00507	-	-	ko00000,ko00001,ko00002,ko02022,ko02035,ko02044	-	-	-	Response_reg
Synpcc7942_0857	1140.Synpcc7942_0857	1.2e-106	308.0	COG0835@1|root,COG0835@2|Bacteria,1G74X@1117|Cyanobacteria,1H1MM@1129|Synechococcus	1129|Synechococcus	NT	Two component signalling adaptor domain	-	-	-	ko:K02659	ko02020,ko02025,map02020,map02025	-	-	-	ko00000,ko00001,ko02035,ko02044	-	-	-	CheW
Synpcc7942_0858	1140.Synpcc7942_0858	0.0	2543.0	COG0840@1|root,COG2203@1|root,COG0840@2|Bacteria,COG2203@2|Bacteria,1G07J@1117|Cyanobacteria,1H021@1129|Synechococcus	1129|Synechococcus	T	Methyl-accepting chemotaxis protein	-	-	-	ko:K11525	ko02020,map02020	-	-	-	ko00000,ko00001,ko02035	-	-	-	GAF,HAMP,MCPsignal
Synpcc7942_0859	1140.Synpcc7942_0859	0.0	1814.0	COG0643@1|root,COG2198@1|root,COG0643@2|Bacteria,COG2198@2|Bacteria,1G0VR@1117|Cyanobacteria,1GZQK@1129|Synechococcus	1129|Synechococcus	T	Histidine kinase-, DNA gyrase B-, and HSP90-like	-	-	-	ko:K06596,ko:K11526	ko02020,ko02025,map02020,map02025	M00507,M00508	-	-	ko00000,ko00001,ko00002,ko01001,ko02022,ko02035	-	-	-	CheW,H-kinase_dim,HATPase_c,Hpt,Response_reg
Synpcc7942_0860	1140.Synpcc7942_0860	5.12e-217	600.0	COG0835@1|root,COG0835@2|Bacteria,1G9AU@1117|Cyanobacteria,1H25C@1129|Synechococcus	1129|Synechococcus	NT	CheW-like domain	-	-	-	-	-	-	-	-	-	-	-	-	CheW
Synpcc7942_0861	1140.Synpcc7942_0861	0.0	864.0	COG1028@1|root,COG3000@1|root,COG1028@2|Bacteria,COG3000@2|Bacteria,1G0I7@1117|Cyanobacteria,1H426@1129|Synechococcus	1129|Synechococcus	I	IQR COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	-	-	5.1.3.34	ko:K20024	ko00561,map00561	-	R11080	RC00289	ko00000,ko00001,ko01000	-	-	-	FA_hydroxylase,adh_short
Synpcc7942_0862	1140.Synpcc7942_0862	4.53e-88	258.0	2AI1P@1|root,318FE@2|Bacteria,1G6KN@1117|Cyanobacteria,1H1CF@1129|Synechococcus	1129|Synechococcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0863	1140.Synpcc7942_0863	8.67e-276	755.0	COG0857@1|root,COG0857@2|Bacteria,1G0QB@1117|Cyanobacteria,1GZVA@1129|Synechococcus	1129|Synechococcus	C	BioD-like N-terminal domain of phosphotransacetylase	-	-	-	ko:K06873	-	-	-	-	ko00000	-	-	-	AAA_26,DRTGG
Synpcc7942_0864	1140.Synpcc7942_0864	2.42e-117	336.0	COG0758@1|root,COG0758@2|Bacteria,1G1BN@1117|Cyanobacteria,1GZ0G@1129|Synechococcus	1129|Synechococcus	LU	Rossmann fold nucleotide-binding protein involved in DNA uptake	-	-	-	-	-	-	-	-	-	-	-	-	DNA_processg_A
Synpcc7942_0865	1140.Synpcc7942_0865	4.57e-104	301.0	COG1666@1|root,COG1666@2|Bacteria,1G50Y@1117|Cyanobacteria,1GYRU@1129|Synechococcus	1129|Synechococcus	S	Belongs to the UPF0234 family	-	-	-	ko:K09767	-	-	-	-	ko00000	-	-	-	DUF520
Synpcc7942_0867	1140.Synpcc7942_0867	2.29e-70	212.0	COG3937@1|root,COG3937@2|Bacteria,1G7SE@1117|Cyanobacteria,1H1QC@1129|Synechococcus	1129|Synechococcus	S	granule-associated protein	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0868	1140.Synpcc7942_0868	0.0	1149.0	COG0661@1|root,COG0661@2|Bacteria,1G0X9@1117|Cyanobacteria,1GYBK@1129|Synechococcus	1129|Synechococcus	S	unusual protein kinase	-	-	-	-	-	-	-	-	-	-	-	-	ABC1
Synpcc7942_0869	1140.Synpcc7942_0869	4.07e-139	393.0	COG1555@1|root,COG1555@2|Bacteria,1G6R5@1117|Cyanobacteria,1H0CF@1129|Synechococcus	1129|Synechococcus	L	COG1555 DNA uptake protein and related DNA-binding	-	-	-	-	-	-	-	-	-	-	-	-	HHH_3,T2SSK
Synpcc7942_0871	1140.Synpcc7942_0871	2.87e-47	151.0	COG1598@1|root,COG1598@2|Bacteria,1G9I4@1117|Cyanobacteria,1H3UJ@1129|Synechococcus	1129|Synechococcus	S	PFAM Uncharacterised protein family UPF0150	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0872	1140.Synpcc7942_0872	1.67e-145	409.0	2C4NW@1|root,313YR@2|Bacteria,1G6IM@1117|Cyanobacteria,1GZ4J@1129|Synechococcus	1129|Synechococcus	S	Alternative locus ID	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0874	1140.Synpcc7942_0874	0.0	2045.0	COG0553@1|root,COG0553@2|Bacteria,1G0S7@1117|Cyanobacteria,1GYJG@1129|Synechococcus	1129|Synechococcus	L	Superfamily II DNA RNA helicases, SNF2 family	-	-	-	-	-	-	-	-	-	-	-	-	DUF3670,Helicase_C,SNF2_N
Synpcc7942_0875	1140.Synpcc7942_0875	3.12e-95	278.0	2E5DC@1|root,3305C@2|Bacteria,1G9B4@1117|Cyanobacteria,1H21B@1129|Synechococcus	1129|Synechococcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0876	1140.Synpcc7942_0876	0.0	1693.0	COG0013@1|root,COG0013@2|Bacteria,1G0NP@1117|Cyanobacteria,1GYMX@1129|Synechococcus	1129|Synechococcus	J	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain	alaS	-	6.1.1.7	ko:K01872	ko00970,map00970	M00359,M00360	R03038	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	DHHA1,tRNA-synt_2c,tRNA_SAD
Synpcc7942_0877	1140.Synpcc7942_0877	0.0	1753.0	COG1032@1|root,COG5011@1|root,COG1032@2|Bacteria,COG5011@2|Bacteria,1FZZ6@1117|Cyanobacteria,1GYZG@1129|Synechococcus	1129|Synechococcus	C	Radical SAM	-	-	-	-	-	-	-	-	-	-	-	-	DUF2344,Radical_SAM
Synpcc7942_0878	1140.Synpcc7942_0878	0.0	1456.0	COG1530@1|root,COG1530@2|Bacteria,1FZX1@1117|Cyanobacteria,1GYX8@1129|Synechococcus	1129|Synechococcus	J	ribonuclease, Rne Rng family	rne	-	3.1.26.12	ko:K08300	ko03018,map03018	M00394	-	-	ko00000,ko00001,ko00002,ko01000,ko03009,ko03019	-	-	-	RNase_E_G
Synpcc7942_0879	1140.Synpcc7942_0879	6.18e-157	439.0	COG0164@1|root,COG0164@2|Bacteria,1G507@1117|Cyanobacteria,1H0B0@1129|Synechococcus	1129|Synechococcus	L	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids	rnhB	-	3.1.26.4	ko:K03470	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	RNase_HII
Synpcc7942_0880	1140.Synpcc7942_0880	2.78e-127	362.0	2EETJ@1|root,338M4@2|Bacteria,1G9SP@1117|Cyanobacteria,1H0C0@1129|Synechococcus	1129|Synechococcus	S	Protein of unknown function (DUF1997)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1997
Synpcc7942_0881	1140.Synpcc7942_0881	3.06e-204	565.0	COG0077@1|root,COG0077@2|Bacteria,1G0WW@1117|Cyanobacteria,1GYJW@1129|Synechococcus	1129|Synechococcus	E	Prephenate dehydratase	pheA	-	4.2.1.51	ko:K04518	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00024	R00691,R01373	RC00360	ko00000,ko00001,ko00002,ko01000	-	-	-	ACT,PDT
Synpcc7942_0882	1140.Synpcc7942_0882	2.32e-158	443.0	COG2802@1|root,COG2802@2|Bacteria,1G0PB@1117|Cyanobacteria,1GYPW@1129|Synechococcus	1129|Synechococcus	S	ATP-dependent protease La (LON) domain	-	-	3.4.21.53	ko:K01338	ko04112,map04112	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	LON_substr_bdg
Synpcc7942_0883	1140.Synpcc7942_0883	7.01e-69	208.0	COG0051@1|root,COG0051@2|Bacteria,1G5TJ@1117|Cyanobacteria,1H0FX@1129|Synechococcus	1129|Synechococcus	J	Involved in the binding of tRNA to the ribosomes	rpsJ	-	-	ko:K02946	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S10
Synpcc7942_0884	1140.Synpcc7942_0884	1.09e-293	801.0	COG0050@1|root,COG0050@2|Bacteria,1G1HJ@1117|Cyanobacteria,1GZH5@1129|Synechococcus	1129|Synechococcus	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	tuf	-	-	ko:K02358	-	-	-	-	ko00000,ko03012,ko03029,ko04147	-	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
Synpcc7942_0885	1140.Synpcc7942_0885	0.0	1352.0	COG0480@1|root,COG0480@2|Bacteria,1G1KG@1117|Cyanobacteria,1GYKI@1129|Synechococcus	1129|Synechococcus	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome	fusA	-	-	ko:K02355	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2
Synpcc7942_0886	1140.Synpcc7942_0886	1.28e-102	297.0	COG0049@1|root,COG0049@2|Bacteria,1G4ZX@1117|Cyanobacteria,1GZQ4@1129|Synechococcus	1129|Synechococcus	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA	rps7	-	-	ko:K02992	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S7
Synpcc7942_0887	1140.Synpcc7942_0887	4.55e-83	245.0	COG0048@1|root,COG0048@2|Bacteria,1G4ZZ@1117|Cyanobacteria,1H07K@1129|Synechococcus	1129|Synechococcus	J	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit	rpsL	-	-	ko:K02950	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosom_S12_S23
Synpcc7942_0888	1140.Synpcc7942_0888	1.81e-82	243.0	COG0662@1|root,COG0662@2|Bacteria,1G5UF@1117|Cyanobacteria,1H45K@1129|Synechococcus	1129|Synechococcus	G	mannose-6-phosphate isomerase	-	-	5.3.1.8	ko:K01809	ko00051,ko00520,ko01100,ko01110,ko01130,map00051,map00520,map01100,map01110,map01130	M00114	R01819	RC00376	ko00000,ko00001,ko00002,ko01000	-	-	-	MannoseP_isomer
Synpcc7942_0889	1140.Synpcc7942_0889	0.0	1195.0	COG4632@1|root,COG4632@2|Bacteria,1G20S@1117|Cyanobacteria,1GYQN@1129|Synechococcus	1129|Synechococcus	G	Phosphodiester glycosidase	-	-	-	-	-	-	-	-	-	-	-	-	NAGPA
Synpcc7942_0890	1140.Synpcc7942_0890	0.0	3045.0	COG0067@1|root,COG0069@1|root,COG0070@1|root,COG0067@2|Bacteria,COG0069@2|Bacteria,COG0070@2|Bacteria,1G0XM@1117|Cyanobacteria,1GZS6@1129|Synechococcus	1129|Synechococcus	E	glutamate synthase	glsF	-	1.4.7.1	ko:K00284	ko00630,ko00910,ko01120,map00630,map00910,map01120	-	R00021,R10086	RC00006,RC00010	ko00000,ko00001,ko01000	-	-	-	GATase_2,GXGXG,Glu_syn_central,Glu_synthase
Synpcc7942_0891	1140.Synpcc7942_0891	6.96e-64	195.0	2C7NV@1|root,32RJI@2|Bacteria,1G7ZU@1117|Cyanobacteria,1H16D@1129|Synechococcus	1129|Synechococcus	S	Domain of unknown function (DUF1830)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1830
Synpcc7942_0892	1140.Synpcc7942_0892	1.37e-250	686.0	COG1060@1|root,COG1060@2|Bacteria,1G1FX@1117|Cyanobacteria,1GZRJ@1129|Synechococcus	1129|Synechococcus	H	Catalyzes the radical-mediated transfer of the hydroxybenzyl group from 4-hydroxyphenylpyruvate (HPP) to 5-amino- 6-ribitylamino-2,4(1H,3H)-pyrimidinedione to form 7,8-didemethyl- 8-hydroxy-5-deazariboflavin (FO)	cofG	-	2.5.1.77	ko:K11780	ko00680,ko01120,map00680,map01120	M00378	R09396	RC01381,RC03002,RC03007	ko00000,ko00001,ko00002,ko01000	-	-	-	Radical_SAM
Synpcc7942_0893	1140.Synpcc7942_0893	9.59e-270	737.0	2DBBD@1|root,2Z87P@2|Bacteria,1G08A@1117|Cyanobacteria,1GYWQ@1129|Synechococcus	1129|Synechococcus	C	Photosystem II (PSII) is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1 D2 (PsbA PsbA) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors	psbA2	-	1.10.3.9	ko:K02703	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	-	-	-	Photo_RC
Synpcc7942_0894	1140.Synpcc7942_0894	2.98e-129	367.0	COG0703@1|root,COG0703@2|Bacteria,1G5QW@1117|Cyanobacteria,1GYPN@1129|Synechococcus	1129|Synechococcus	F	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	aroK	-	2.7.1.71	ko:K00891	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02412	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	SKI
Synpcc7942_0896	1140.Synpcc7942_0896	5.77e-177	494.0	COG2894@1|root,COG2894@2|Bacteria,1G2A5@1117|Cyanobacteria,1GYV8@1129|Synechococcus	1129|Synechococcus	D	Belongs to the ParA family	minD	-	-	ko:K03609	-	-	-	-	ko00000,ko03036,ko04812	-	-	-	CbiA,ParA
Synpcc7942_0897	1140.Synpcc7942_0897	3.92e-55	172.0	COG0851@1|root,COG0851@2|Bacteria,1G7SM@1117|Cyanobacteria,1H14A@1129|Synechococcus	1129|Synechococcus	D	Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell	minE	-	-	ko:K03608	-	-	-	-	ko00000,ko03036,ko04812	-	-	-	MinE
Synpcc7942_0898	1140.Synpcc7942_0898	2.12e-93	272.0	COG3411@1|root,COG3411@2|Bacteria,1G5V6@1117|Cyanobacteria,1H0SH@1129|Synechococcus	1129|Synechococcus	C	ferredoxin like protein	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0899	1140.Synpcc7942_0899	2.4e-188	523.0	28J5U@1|root,2Z91K@2|Bacteria,1G13N@1117|Cyanobacteria,1GZUR@1129|Synechococcus	1129|Synechococcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0901	1140.Synpcc7942_0901	7.67e-222	610.0	COG2267@1|root,COG2267@2|Bacteria,1G1MK@1117|Cyanobacteria,1H022@1129|Synechococcus	1129|Synechococcus	I	Serine aminopeptidase, S33	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
Synpcc7942_0902	1140.Synpcc7942_0902	4.45e-165	469.0	COG2931@1|root,COG2931@2|Bacteria,1GP30@1117|Cyanobacteria,1H25X@1129|Synechococcus	1129|Synechococcus	Q	COG2931 RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	HemolysinCabind
Synpcc7942_0903	1140.Synpcc7942_0903	0.0	1690.0	COG1049@1|root,COG1049@2|Bacteria,1G12I@1117|Cyanobacteria,1GZQX@1129|Synechococcus	1129|Synechococcus	C	Belongs to the aconitase IPM isomerase family	acnB	-	4.2.1.3,4.2.1.99	ko:K01682	ko00020,ko00630,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00009,M00010,M00012,M00173	R01324,R01325,R01900,R04425	RC00497,RC00498,RC00618,RC01153	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase,Aconitase_2_N,Aconitase_B_N
Synpcc7942_0909	1140.Synpcc7942_0909	2.8e-81	240.0	COG0316@1|root,COG0316@2|Bacteria,1G5QF@1117|Cyanobacteria,1H09K@1129|Synechococcus	1129|Synechococcus	S	Belongs to the HesB IscA family	-	-	-	ko:K13628	-	-	-	-	ko00000,ko03016	-	-	-	Fe-S_biosyn
Synpcc7942_0910	1140.Synpcc7942_0910	6.1e-101	292.0	COG0457@1|root,COG0457@2|Bacteria,1GDFI@1117|Cyanobacteria,1H0EG@1129|Synechococcus	1129|Synechococcus	S	COG0457 FOG TPR repeat	-	-	-	-	-	-	-	-	-	-	-	-	TPR_14
Synpcc7942_0911	1140.Synpcc7942_0911	3.66e-54	169.0	2E3UB@1|root,32YRP@2|Bacteria,1G8Z4@1117|Cyanobacteria,1H22B@1129|Synechococcus	1129|Synechococcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0912	1140.Synpcc7942_0912	0.0	1063.0	COG2812@1|root,COG2812@2|Bacteria,1G0SB@1117|Cyanobacteria,1GYY4@1129|Synechococcus	1129|Synechococcus	H	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity	dnaX	-	2.7.7.7	ko:K02343	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_delta2,DNA_pol3_gamma3
Synpcc7942_0913	1140.Synpcc7942_0913	7.63e-117	334.0	COG0454@1|root,COG0456@2|Bacteria,1G5UI@1117|Cyanobacteria,1H0Y5@1129|Synechococcus	1129|Synechococcus	K	Acetyltransferase (GNAT) family	-	-	-	ko:K03828	-	-	-	-	ko00000,ko01000	-	-	-	Acetyltransf_1
Synpcc7942_0914	1140.Synpcc7942_0914	1.71e-139	394.0	COG4445@1|root,COG4445@2|Bacteria,1G1MM@1117|Cyanobacteria,1GZ21@1129|Synechococcus	1129|Synechococcus	FJ	COG4445 Hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA	miaE	-	-	ko:K06169	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	MiaE
Synpcc7942_0915	1140.Synpcc7942_0915	2.17e-102	296.0	COG0757@1|root,COG0757@2|Bacteria,1G5X4@1117|Cyanobacteria,1H0NE@1129|Synechococcus	1129|Synechococcus	E	Catalyzes a trans-dehydration via an enolate intermediate	aroQ	-	4.2.1.10	ko:K03786	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03084	RC00848	ko00000,ko00001,ko00002,ko01000	-	-	-	DHquinase_II
Synpcc7942_0916	1140.Synpcc7942_0916	1.55e-15	68.9	2EJ9I@1|root,33D0Q@2|Bacteria,1GAHE@1117|Cyanobacteria,1H206@1129|Synechococcus	1129|Synechococcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
