locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
Synpcc7942_0350,Synpcc7942_0350,CP000100.1,,342793,343671,+,ATPase,"Secondary metabolites biosynthesis, transport, and catabolism",Q31RD7,Op286
Synpcc7942_0351,Synpcc7942_0351,CP000100.1,,343699,344832,+,putative ABC transport system substrate-binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31RD6,Op286
Synpcc7942_0352,msrB1,CP000100.1,,344823,345431,-,Methionine sulfoxide reductase B,"Post-translational modification, protein turnover, and chaperones",Q31RD5,Op287
Synpcc7942_0353,Synpcc7942_0353,CP000100.1,,345470,346432,+,Na+-dependent transporter-like,Function unknown,Q31RD4,Op288
Synpcc7942_0354,Synpcc7942_0354,CP000100.1,,346832,348460,-,Beta-glucosidase-related glycosidases-like,Carbohydrate transport and metabolism,Q31RD3,Op289
Synpcc7942_0355,rbfA,CP000100.1,,348457,348870,-,ribosome-binding factor A,"Translation, ribosomal structure and biogenesis",Q31RD2,Op289
Synpcc7942_0356,Synpcc7942_0356,CP000100.1,,348922,349146,-,conserved hypothetical protein YCF33,Function unknown,Q31RD1,Op290
Synpcc7942_0357,ictB,CP000100.1,,349875,351278,-,Inorganic carbon transporter,Cell wall/membrane/envelope biogenesis,P72547,Op291
Synpcc7942_0358,dc13,CP000100.1,,351309,351950,-,conserved hypothetical protein,"Translation, ribosomal structure and biogenesis",P72546,Op291
Synpcc7942_0359,Synpcc7942_0359,CP000100.1,,352026,353207,+,conserved hypothetical protein,Function unknown,Q31RC8,Op292
Synpcc7942_0360,Synpcc7942_0360,CP000100.1,,353103,354299,-,conserved hypothetical protein,Function unknown,Q31RC7,Op293
Synpcc7942_0361,Synpcc7942_0361,CP000100.1,,354532,354759,+,conserved hypothetical protein,Function unknown,Q6BBK3,Op294
Synpcc7942_0362,Synpcc7942_0362,CP000100.1,,354884,355483,+,conserved hypothetical protein,Function unknown,Q31RC5,Op295
Synpcc7942_0363,Synpcc7942_0363,CP000100.1,,355509,355793,+,conserved hypothetical protein,No COG annotation,Q31RC4,Op295
Synpcc7942_0364,Synpcc7942_0364,CP000100.1,,355865,356416,+,hypothetical protein,Coenzyme transport and metabolism,Q31RC3,Op296
Synpcc7942_0365,Synpcc7942_0365,CP000100.1,,356676,357305,+,response regulator receiver domain protein (CheY-like),Signal transduction mechanisms,Q31RC2,Op297
Synpcc7942_0366,ltnT,CP000100.1,,357549,359732,+,putative sulfate transporter,No COG annotation,Q31RC1,Op298
Synpcc7942_0367,Synpcc7942_0367,CP000100.1,,359767,360690,-,Na+-dependent transporter-like,Function unknown,Q31RC0,Op299
Synpcc7942_0368,xseA,CP000100.1,,360711,362063,+,Exodeoxyribonuclease VII large subunit,"Replication, recombination and repair",Q31RB9,Op300
Synpcc7942_0369,Synpcc7942_0369,CP000100.1,,362147,363601,+,putative flavin-containing monoamine oxidase,Amino acid transport and metabolism,Q31RB8,Op301
Synpcc7942_0370,metY,CP000100.1,,363763,365067,+,O-acetylhomoserine/O-acetylserine sulfhydrylase,Amino acid transport and metabolism,Q31RB7,Op302
Synpcc7942_0371,metA,CP000100.1,,365116,366015,+,homoserine O-succinyltransferase,Amino acid transport and metabolism,Q31RB6,Op302
Synpcc7942_0372,Synpcc7942_0372,CP000100.1,,366053,366853,+,conserved hypothetical protein,No COG annotation,Q31RB5,Op303
Synpcc7942_0373,Synpcc7942_0373,CP000100.1,,366738,368024,-,conserved hypothetical protein,Function unknown,Q31RB4,Op304
Synpcc7942_0374,Synpcc7942_0374,CP000100.1,,368290,368574,-,hypothetical protein,No COG annotation,Q31RB3,Op305
Synpcc7942_0375,Synpcc7942_0375,CP000100.1,,368929,370344,-,processing protease,Function unknown,Q31RB2,Op306
Synpcc7942_0376,Synpcc7942_0376,CP000100.1,,370341,371867,-,putative zinc protease protein,Function unknown,Q31RB1,Op306
Synpcc7942_0377,Synpcc7942_0377,CP000100.1,,371868,372206,-,conserved hypothetical protein,No COG annotation,Q31RB0,Op306
Synpcc7942_0378,Synpcc7942_0378,CP000100.1,,372532,373326,+,Protein of unknown function DUF140,"Secondary metabolites biosynthesis, transport, and catabolism",Q31RA9,Op307
Synpcc7942_0379,Synpcc7942_0379,CP000100.1,,373380,373763,+,conserved hypothetical protein,Function unknown,Q31RA8,Op308
Synpcc7942_0380,Synpcc7942_0380,CP000100.1,,373785,374828,+,conserved hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q31RA7,Op308
Synpcc7942_0381,Synpcc7942_0381,CP000100.1,,375032,375346,-,conserved hypothetical protein,No COG annotation,Q31RA6,Op309
Synpcc7942_0382,Synpcc7942_0382,CP000100.1,,375456,375722,-,conserved hypothetical protein,Function unknown,Q31RA5,Op310
Synpcc7942_0383,Synpcc7942_0383,CP000100.1,,375762,376448,-,hypothetical protein,Function unknown,Q31RA4,Op310
Synpcc7942_0384,Synpcc7942_0384,CP000100.1,,376527,377237,-,hypothetical protein,No COG annotation,Q31RA3,Op311
Synpcc7942_0385,chlP1,CP000100.1,,377321,378694,-,geranylgeranyl reductase,Energy production and conversion,Q31RA2,Op312
Synpcc7942_0386,Synpcc7942_0386,CP000100.1,,378981,380390,+,conserved hypothetical protein,Function unknown,Q31RA1,Op313
Synpcc7942_0387,Synpcc7942_0387,CP000100.1,,380395,380901,+,Protein of unknown function UPF0079,Function unknown,Q31RA0,Op313
Synpcc7942_0388,Synpcc7942_0388,CP000100.1,,380870,381991,-,probable glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31R99,Op314
Synpcc7942_0389,Synpcc7942_0389,CP000100.1,,382081,382332,+,hypothetical protein,No COG annotation,Q31R98,Op315
Synpcc7942_0390,Synpcc7942_0390,CP000100.1,,382303,383454,-,Chromate transporter,Inorganic ion transport and metabolism,Q31R97,Op316
Synpcc7942_0391,Synpcc7942_0391,CP000100.1,,383545,385125,-,conserved hypothetical protein,Function unknown,Q31R96,Op317
Synpcc7942_0392,moeB,CP000100.1,,385350,386528,-,probable membrane-bound lytic transglycosylase A,Cell wall/membrane/envelope biogenesis,Q31R95,Op318
Synpcc7942_0393,Synpcc7942_0393,CP000100.1,,386677,387357,+,conserved hypothetical protein,Function unknown,Q31R94,Op319
Synpcc7942_0394,cdsA,CP000100.1,,387354,388220,-,phosphatidate cytidylyltransferase,Cell wall/membrane/envelope biogenesis,Q31R93,Op320
Synpcc7942_0395,Synpcc7942_0395,CP000100.1,,388494,389618,+,hypothetical protein,"Replication, recombination and repair",Q31R92,Op321
Synpcc7942_0396,purH,CP000100.1,,389953,391494,+,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase,Nucleotide transport and metabolism,Q31R91,Op322
Synpcc7942_0397,Synpcc7942_0397,CP000100.1,,391532,392923,+,putative neutral invertase,Carbohydrate transport and metabolism,Q31R90,Op322
Synpcc7942_0398,Synpcc7942_0398,CP000100.1,,392990,393448,+,hypothetical protein,Function unknown,Q31R89,Op323
Synpcc7942_0399,Synpcc7942_0399,CP000100.1,,393793,394545,-,conserved hypothetical protein,Function unknown,Q31R88,Op324
Synpcc7942_0400,trpG,CP000100.1,,394579,395181,-,anthranilate synthase%2C component II,Amino acid transport and metabolism,Q31R87,Op324
Synpcc7942_0401,dgkA,CP000100.1,,395246,395731,-,diacylglycerol kinase,Cell wall/membrane/envelope biogenesis,Q31R86,Op325
Synpcc7942_0402,Synpcc7942_0402,CP000100.1,,396872,397396,-,Protein of unknown function UPF0054,"Translation, ribosomal structure and biogenesis",Q31R85,Op326
Synpcc7942_0403,Synpcc7942_0403,CP000100.1,,397398,397577,-,conserved hypothetical protein,Function unknown,Q31R84,Op326
Synpcc7942_0404,prfB,CP000100.1,,397595,398509,-,bacterial peptide chain release factor 2 (bRF-2),"Translation, ribosomal structure and biogenesis",Q31R83,Op326
Synpcc7942_0405,holA,CP000100.1,,398870,399868,+,DNA polymerase III%2C delta subunit,"Replication, recombination and repair",Q31R82,Op327
Synpcc7942_0406,Synpcc7942_0406,CP000100.1,,399953,400354,+,conserved hypothetical protein,No COG annotation,Q31R81,Op328
Synpcc7942_0407,psaK,CP000100.1,,400429,400671,-,photosystem I reaction center subunit X,"Intracellular trafficking, secretion, and vesicular transport",Q31R80,Op329
Synpcc7942_0408,trpF,CP000100.1,,400768,401421,+,phosphoribosylanthranilate isomerase,Amino acid transport and metabolism,Q31R79,Op330
Synpcc7942_0409,Synpcc7942_0409,CP000100.1,,401464,401748,-,hypothetical protein,No COG annotation,Q31R78,Op331
Synpcc7942_0410,Synpcc7942_0410,CP000100.1,,401750,402022,-,conserved hypothetical protein,Function unknown,Q31R77,Op331
Synpcc7942_0411,trpA,CP000100.1,,402191,402991,-,tryptophan synthase%2C alpha chain,Amino acid transport and metabolism,Q31R76,Op332
Synpcc7942_0412,Synpcc7942_0412,CP000100.1,,403022,403351,-,hypothetical protein,Function unknown,Q31R75,Op332
Synpcc7942_0413,Synpcc7942_0413,CP000100.1,,403352,403768,-,hypothetical protein,No COG annotation,Q31R74,Op333
Synpcc7942_0414,Synpcc7942_0414,CP000100.1,,404016,405188,+,conserved hypothetical protein,Function unknown,Q31R73,Op334
Synpcc7942_0415,Synpcc7942_0415,CP000100.1,,405168,406145,-,conserved hypothetical protein,Function unknown,Q31R72,Op335
Synpcc7942_0416,Synpcc7942_0416,CP000100.1,,406389,406772,+,conserved hypothetical protein,No COG annotation,Q31R71,Op336
Synpcc7942_0417,Synpcc7942_0417,CP000100.1,,406851,408359,+,ATPase,"Post-translational modification, protein turnover, and chaperones",Q31R70,Op337
Synpcc7942_0418,Synpcc7942_0418,CP000100.1,,408494,408844,+,conserved hypothetical protein,Function unknown,Q31R69,Op338
Synpcc7942_0419,bioB,CP000100.1,,408941,409903,-,biotin synthase,Coenzyme transport and metabolism,Q31R68,Op339
Synpcc7942_0420,Synpcc7942_0420,CP000100.1,,409951,411516,-,conserved hypothetical protein,Coenzyme transport and metabolism,Q31R67,Op340
Synpcc7942_0421,Synpcc7942_0421,CP000100.1,,411548,411946,-,hypothetical protein,Function unknown,Q31R66,Op340
Synpcc7942_0422,Synpcc7942_0422,CP000100.1,,412147,413289,+,conserved hypothetical protein,No COG annotation,Q31R65,Op341
Synpcc7942_0423,Synpcc7942_0423,CP000100.1,,413396,413614,-,conserved hypothetical protein,No COG annotation,Q31R64,Op342
Synpcc7942_0424,psbA1,CP000100.1,,413873,414955,+,photosystem q(b) protein,Energy production and conversion,P04996,Op343
Synpcc7942_0425,Synpcc7942_0425,CP000100.1,,415064,415441,-,conserved hypothetical protein,Function unknown,Q8GMQ2,Op344
Synpcc7942_0426,scpB,CP000100.1,,415535,416086,-,condensin subunit ScpB,"Cell cycle control, cell division, chromosome partitioning",Q8GMQ3,Op345
Synpcc7942_0427,Synpcc7942_0427,CP000100.1,,416103,416951,-,ATPase,Defense mechanisms,Q8GMQ4,Op345
Synpcc7942_0428,leuA1,CP000100.1,,416982,418610,-,2-isopropylmalate synthase,Amino acid transport and metabolism,Q8GA98,Op345
Synpcc7942_0429,Synpcc7942_0429,CP000100.1,,418681,419220,-,conserved hypothetical protein,No COG annotation,Q31R58,Op346
Synpcc7942_0430,dxs,CP000100.1,,419382,421292,+,1-Deoxy-D-xylulose-5-phosphate synthase,Nucleotide transport and metabolism,Q8GAA0,Op347
Synpcc7942_0431,Synpcc7942_0431,CP000100.1,,421289,422557,+,conserved hypothetical protein,Energy production and conversion,Q31R56,Op347
Synpcc7942_0432,dpdX,CP000100.1,,422547,423245,+,D-alanyl-D-alanine dipeptidase-like,Cell wall/membrane/envelope biogenesis,Q8GAA2,Op347
Synpcc7942_0433,Synpcc7942_0433,CP000100.1,,423632,424840,+,conserved hypothetical protein,No COG annotation,Q8GMQ5,Op348
Synpcc7942_0434,Synpcc7942_0434,CP000100.1,,425057,426064,+,conserved hypothetical protein,Function unknown,Q8GMQ6,Op349
Synpcc7942_0435,Synpcc7942_0435,CP000100.1,,426075,426830,+,conserved hypothetical protein,Function unknown,Q31R52,Op349
Synpcc7942_0436,Synpcc7942_0436,CP000100.1,,426845,427150,+,hypothetical protein,No COG annotation,Q8GMQ8,Op349
Synpcc7942_0437,sel0033,CP000100.1,,427463,428029,+,putative glutathione peroxidase,No COG annotation,Q8GMQ9,Op350
Synpcc7942_0438,Synpcc7942_0438,CP000100.1,,427989,428495,+,hypothetical protein,No COG annotation,Q31R49,Op351
Synpcc7942_0439,chlM,CP000100.1,,428611,429300,-,magnesium protoporphyrin O-methyltransferase,Coenzyme transport and metabolism,Q31R48,Op352
Synpcc7942_0440,nagA,CP000100.1,,429346,430473,-,N-acetylglucosamine 6-phosphate deacetylase,Carbohydrate transport and metabolism,Q31R47,Op353
Synpcc7942_0441,pur6,CP000100.1,,430523,431191,+,phosphoribosylaminoimidazole carboxylase%2C catalytic subunit,Nucleotide transport and metabolism,Q8GMR3,Op354
Synpcc7942_0442,amt1,CP000100.1,,431458,432951,+,ammonium transporter,Inorganic ion transport and metabolism,Q31R45,Op355
Synpcc7942_0443,sek0027,CP000100.1,,433076,434317,-,conserved hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q8GMR4,Op356
Synpcc7942_0444,sek0026,CP000100.1,,434357,435040,-,conserved hypothetical protein,No COG annotation,Q8GAA4,Op356
Synpcc7942_0445,sek0025,CP000100.1,,435383,436438,-,ABC-type dipeptide/oligopeptide/nickel transport systems permease components-like,Inorganic ion transport and metabolism,Q8GAA5,Op357
Synpcc7942_0446,rpsN,CP000100.1,,436519,436821,-,SSU ribosomal protein S14P,"Translation, ribosomal structure and biogenesis",Q79AV0,Op358
Synpcc7942_0447,end3,CP000100.1,,436851,437537,-,DNA-(apurinic or apyrimidinic site) lyase / endonuclease III,"Replication, recombination and repair",Q8GMR5,Op358
Synpcc7942_0448,Synpcc7942_0448,CP000100.1,,437534,438628,-,YUP8H12.25 {{Arabidopsis thaliana}}-type protein. Metallo peptidase. MEROPS family M50B,Cell wall/membrane/envelope biogenesis,Q31R39,Op358
Synpcc7942_0449,serS,CP000100.1,,438675,440006,-,seryl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",Q8GMR7,Op359
Synpcc7942_0450,sek0020,CP000100.1,,440050,440295,-,putative NifU-like protein,"Post-translational modification, protein turnover, and chaperones",Q8GMR8,Op360
Synpcc7942_0451,sel0019,CP000100.1,,440670,441299,+,esterase,Function unknown,Q8GMR9,Op361
Synpcc7942_0452,sinA,CP000100.1,,441357,441836,-,conserved hypothetical protein,Function unknown,Q31R35,Op362
Synpcc7942_0453,hik2,CP000100.1,,442022,443236,+,GAF sensor signal transduction histidine kinase,Signal transduction mechanisms,Q31R34,Op363
Synpcc7942_0454,cobS,CP000100.1,,443217,443972,-,cobalamin-5'-phosphate synthase,Coenzyme transport and metabolism,Q8GMS2,Op364
Synpcc7942_0455,tgt,CP000100.1,,444001,445155,+,queuine tRNA-ribosyltransferase,Nucleotide transport and metabolism,Q8GAA6,Op365
Synpcc7942_0456,psbK,CP000100.1,,445209,445346,+,photosystem II PsbK protein,Function unknown,Q79AV1,Op366
Synpcc7942_0457,sel0013,CP000100.1,,445562,446179,+,conserved hypothetical protein,No COG annotation,Q8GMS3,Op367
Synpcc7942_0458,Synpcc7942_0458,CP000100.1,,446215,447051,-,Carboxylesterase,Function unknown,Q31R29,Op368
Synpcc7942_0459,Synpcc7942_0459,CP000100.1,,447057,448166,-,glutathione-dependent formaldehyde dehydrogenase,Energy production and conversion,Q31R28,Op368
Synpcc7942_0460,Synpcc7942_0460,CP000100.1,,448306,448779,-,putative acetyltransferase,No COG annotation,Q8GMS6,Op369
Synpcc7942_0461,Synpcc7942_0461,CP000100.1,,448876,449313,-,conserved hypothetical protein,No COG annotation,Q8GMS7,Op370
Synpcc7942_0462,Synpcc7942_0462,CP000100.1,,449370,449957,-,conserved hypothetical protein,Function unknown,Q31R25,Op371
Synpcc7942_0463,Synpcc7942_0463,CP000100.1,,449957,450448,-,protein tyrosine phosphatase,Signal transduction mechanisms,Q31R24,Op371
Synpcc7942_0464,Synpcc7942_0464,CP000100.1,,450539,450934,-,conserved hypothetical protein,Function unknown,Q8GMT0,Op372
Synpcc7942_0465,Synpcc7942_0465,CP000100.1,,451023,451748,-,conserved hypothetical protein,Function unknown,Q31R22,Op373
Synpcc7942_0466,bcsA1,CP000100.1,,451838,454087,+,Cellulose synthase (UDP-forming),Cell wall/membrane/envelope biogenesis,Q31R21,Op374
Synpcc7942_0467,Synpcc7942_0467,CP000100.1,,454004,454837,-,Peptidase%2C metallopeptidases,"Post-translational modification, protein turnover, and chaperones",Q8GMT3,Op375
Synpcc7942_0468,secG,CP000100.1,,454806,455045,-,preprotein translocase%2C SecG subunit,"Intracellular trafficking, secretion, and vesicular transport",Q8GMT4,Op375
Synpcc7942_0469,pgmM,CP000100.1,,455066,456664,-,phosphoglycerate mutase,Carbohydrate transport and metabolism,Q31R18,Op375
Synpcc7942_0470,Synpcc7942_0470,CP000100.1,,457211,457744,+,conserved hypothetical protein,No COG annotation,Q31R17,Op376
Synpcc7942_0471,Synpcc7942_0471,CP000100.1,,457882,458712,+,ABC-type sugar transport system permease component-like,Inorganic ion transport and metabolism,Q31R16,Op377
Synpcc7942_0472,Synpcc7942_0472,CP000100.1,,458795,459019,+,Exodeoxyribonuclease VII small subunit,"Translation, ribosomal structure and biogenesis",Q31R15,Op378
Synpcc7942_0473,Synpcc7942_0473,CP000100.1,,459096,460202,+,NADH:flavin oxidoreductases Old Yellow Enzyme family-like,Energy production and conversion,Q31R14,Op379
Synpcc7942_0474,Synpcc7942_0474,CP000100.1,,460296,460433,-,hypothetical protein,No COG annotation,Q31R13,Op380
Synpcc7942_0475,petN,CP000100.1,,460449,460544,-,cytochrome b6-f complex subunit VIII,No COG annotation,Q31R12,Op381
Synpcc7942_0476,clpS-2,CP000100.1,,460552,460962,+,conserved hypothetical protein,Function unknown,Q31R11,Op382
Synpcc7942_0477,Synpcc7942_0477,CP000100.1,,460994,461293,-,conserved hypothetical protein YCF19,Function unknown,Q31R10,Op383
Synpcc7942_0478,lepB1,CP000100.1,,461324,461935,-,thylakoidal processing peptidase. Serine peptidase. MEROPS family S26A,"Intracellular trafficking, secretion, and vesicular transport",Q31R09,Op383
Synpcc7942_0479,lepA,CP000100.1,,461935,463749,-,GTP-binding protein LepA,"Translation, ribosomal structure and biogenesis",Q31R08,Op383
Synpcc7942_0480,Synpcc7942_0480,CP000100.1,,463901,465634,+,GAF sensor signal transduction histidine kinase,Signal transduction mechanisms,Q31R07,Op384
Synpcc7942_0481,Synpcc7942_0481,CP000100.1,,465713,466828,+,protease,"Post-translational modification, protein turnover, and chaperones",Q31R06,Op385
Synpcc7942_0482,ftsI,CP000100.1,,467004,468773,-,Peptidoglycan glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31R05,Op386
Synpcc7942_0483,Synpcc7942_0483,CP000100.1,,468776,469219,-,conserved hypothetical protein,No COG annotation,Q31R04,Op386
Synpcc7942_0484,Synpcc7942_0484,CP000100.1,,469432,470874,-,conserved hypothetical protein,Function unknown,Q31R03,Op387
Synpcc7942_0485,serB,CP000100.1,,470975,472312,+,phosphoglycerate mutase,Carbohydrate transport and metabolism,Q31R02,Op388
Synpcc7942_0486,pyrC1,CP000100.1,,472319,473554,+,dihydroorotase,Nucleotide transport and metabolism,Q31R01,Op388
Synpcc7942_0487,Synpcc7942_0487,CP000100.1,,473510,474172,-,thylakoidal processing peptidase. Serine peptidase. MEROPS family S26A,"Intracellular trafficking, secretion, and vesicular transport",Q31R00,Op389
Synpcc7942_0488,pyrC2,CP000100.1,,474316,475644,+,dihydroorotase%2C multifunctional complex type,Nucleotide transport and metabolism,Q31QZ9,Op390
Synpcc7942_0489,aldA,CP000100.1,,475665,477044,-,aldehyde dehydrogenase,Energy production and conversion,Q31QZ8,Op391
Synpcc7942_0490,Synpcc7942_0490,CP000100.1,,477395,479440,+,diguanylate cyclase with PAS/PAC sensor,Signal transduction mechanisms,Q31QZ7,Op392
Synpcc7942_0491,ndhQ,CP000100.1,,479700,479837,+,hypothetical protein,No COG annotation,Q31QZ6,Op393
Synpcc7942_0492,ribF,CP000100.1,,479877,480824,-,FMN adenylyltransferase / riboflavin kinase,Coenzyme transport and metabolism,Q31QZ5,Op394
Synpcc7942_0493,Synpcc7942_0493,CP000100.1,,480967,482451,+,conserved hypothetical protein,Function unknown,Q31QZ4,Op395
Synpcc7942_0494,Synpcc7942_0494,CP000100.1,,482631,482984,-,conserved hypothetical protein,No COG annotation,Q31QZ3,Op396
Synpcc7942_0495,Synpcc7942_0495,CP000100.1,,482981,483517,-,hypothetical protein,No COG annotation,Q31QZ2,Op396
Synpcc7942_0496,Synpcc7942_0496,CP000100.1,,483634,484323,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31QZ1,Op397
Synpcc7942_0497,-,CP000100.1,,484328,484504,-,conserved hypothetical protein,No COG annotation,Q31QZ0,Op398
Synpcc7942_0498,cpsB,CP000100.1,,484585,487098,+,mannose-1-phosphate guanyltransferase,Carbohydrate transport and metabolism,Q31QY9,Op399
Synpcc7942_0499,Synpcc7942_0499,CP000100.1,,487375,488370,-,hydroxyneurosporene-O-methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Q31QY8,Op400
Synpcc7942_0500,Synpcc7942_0500,CP000100.1,,488470,488823,-,hypothetical protein,No COG annotation,Q31QY7,Op401
Synpcc7942_0501,Synpcc7942_0501,CP000100.1,,488833,489483,-,Nucleoside-diphosphate-sugar epimerases-like,Carbohydrate transport and metabolism,Q31QY6,Op401
Synpcc7942_0502,Synpcc7942_0502,CP000100.1,,489508,490074,-,conserved hypothetical protein,"Translation, ribosomal structure and biogenesis",Q31QY5,Op401
Synpcc7942_0503,Synpcc7942_0503,CP000100.1,,490074,490382,-,hypothetical protein,Function unknown,Q31QY4,Op401
Synpcc7942_0504,hemA,CP000100.1,,490382,491698,-,glutamyl-tRNA reductase,Coenzyme transport and metabolism,Q31QY3,Op401
Synpcc7942_0505,fbpI,CP000100.1,,491830,492867,-,D-fructose 1%2C6-bisphosphatase / sedoheptulose 1%2C7-bisphosphatase,Carbohydrate transport and metabolism,Q31QY2,Op402
Synpcc7942_0506,pyrH,CP000100.1,,492988,493749,+,uridylate kinase,Nucleotide transport and metabolism,Q31QY1,Op403
Synpcc7942_0507,frr,CP000100.1,,493736,494284,+,ribosome recycling factor,"Translation, ribosomal structure and biogenesis",Q31QY0,Op403
Synpcc7942_0508,chlP2,CP000100.1,,494291,495421,+,geranylgeranyl reductase,Energy production and conversion,Q31QX9,Op403
Synpcc7942_0509,Synpcc7942_0509,CP000100.1,,495460,495933,+,conserved hypothetical protein,No COG annotation,Q31QX8,Op403
Synpcc7942_0510,mtnX,CP000100.1,,495930,496580,-,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase,Amino acid transport and metabolism,Q31QX7,Op404
Synpcc7942_0511,ccsA,CP000100.1,,496602,497579,-,ABC-type transport system involved in cytochrome c biogenesis permease component-like,"Post-translational modification, protein turnover, and chaperones",Q31QX6,Op404
Synpcc7942_0512,Synpcc7942_0512,CP000100.1,,497624,498808,-,conserved hypothetical protein YCF84,Function unknown,Q31QX5,Op405
Synpcc7942_0513,Synpcc7942_0513,CP000100.1,,498901,499653,-,ATPase,Function unknown,Q31QX4,Op406
Synpcc7942_0514,Synpcc7942_0514,CP000100.1,,499683,500105,-,conserved hypothetical protein,Function unknown,Q31QX3,Op406
Synpcc7942_0515,Synpcc7942_0515,CP000100.1,,500143,500565,-,conserved hypothetical protein,Function unknown,Q31QX2,Op406
Synpcc7942_0516,Synpcc7942_0516,CP000100.1,,500562,501884,-,C-terminal processing peptidase-2. Serine peptidase. MEROPS family S41A,Cell wall/membrane/envelope biogenesis,Q31QX1,Op406
Synpcc7942_0517,recJ,CP000100.1,,502006,504333,-,exonuclease RecJ,"Replication, recombination and repair",Q31QX0,Op407
Synpcc7942_0518,Synpcc7942_0518,CP000100.1,,504393,505556,+,conserved hypothetical protein,Function unknown,Q31QW9,Op408
Synpcc7942_0519,Synpcc7942_0519,CP000100.1,,505620,506138,+,hypothetical protein,Function unknown,Q31QW8,Op409
Synpcc7942_0520,ccmP,CP000100.1,,506188,506829,+,hypothetical protein,Energy production and conversion,Q31QW7,Op410
Synpcc7942_0521,Synpcc7942_0521,CP000100.1,,506835,507422,+,conserved hypothetical protein,Function unknown,Q31QW6,Op410
Synpcc7942_0522,Synpcc7942_0522,CP000100.1,,507941,508312,+,hypothetical protein,No COG annotation,Q31QW5,Op411
Synpcc7942_0523,Synpcc7942_0523,CP000100.1,,508314,508703,-,hypothetical protein,Function unknown,Q31QW4,Op412
Synpcc7942_0524,Synpcc7942_0524,CP000100.1,,508795,509202,-,conserved hypothetical protein,Function unknown,Q31QW3,Op413
Synpcc7942_0525,aroB,CP000100.1,,509226,510332,-,3-dehydroquinate synthase,Amino acid transport and metabolism,Q31QW2,Op413
Synpcc7942_0526,Synpcc7942_0526,CP000100.1,,510412,511293,+,ABC-type sugar transport systems permease components-like,Inorganic ion transport and metabolism,Q31QW1,Op414
Synpcc7942_0527,Synpcc7942_0527,CP000100.1,,511398,512234,-,conserved hypothetical protein,No COG annotation,Q31QW0,Op415
Synpcc7942_0528,-,CP000100.1,,512589,513578,-,Lipopolysaccharide biosynthesis proteins LPS,Cell wall/membrane/envelope biogenesis,Q31QV9,Op416
Synpcc7942_0529,pgl,CP000100.1,,513612,514331,+,6-phosphogluconolactonase,Carbohydrate transport and metabolism,Q31QV8,Op417
Synpcc7942_0530,Synpcc7942_0530,CP000100.1,,514335,515288,+,4Fe-4S cluster binding,Coenzyme transport and metabolism,Q31QV7,Op417
Synpcc7942_0531,Synpcc7942_0531,CP000100.1,,515313,516176,+,TPR repeat,Function unknown,Q31QV6,Op417
Synpcc7942_0532,Synpcc7942_0532,CP000100.1,,516414,516767,-,conserved hypothetical protein,No COG annotation,Q31QV5,Op418
Synpcc7942_0533,Synpcc7942_0533,CP000100.1,,516764,517000,-,conserved hypothetical protein,Function unknown,Q31QV4,Op418
Synpcc7942_0534,glmS,CP000100.1,,517016,518941,-,glutamine--fructose-6-phosphate transaminase,Cell wall/membrane/envelope biogenesis,Q31QV3,Op418
Synpcc7942_0535,psaC,CP000100.1,,519088,519333,-,photosystem I iron-sulfurcenter,Energy production and conversion,Q31QV2,Op419
Synpcc7942_0536,acpP,CP000100.1,,519792,520034,+,acyl carrier protein,Lipid transport and metabolism,Q31QV1,Op420
Synpcc7942_0537,fabF,CP000100.1,,520102,521355,+,3-oxoacyl-[acyl-carrier-protein] synthase II,Lipid transport and metabolism,Q31QV0,Op421
Synpcc7942_0538,tktA,CP000100.1,,521502,523508,+,transketolase,Coenzyme transport and metabolism,Q31QU9,Op422
Synpcc7942_0539,Synpcc7942_0539,CP000100.1,,523604,524353,+,conserved hypothetical protein,Function unknown,Q31QU8,Op423
Synpcc7942_0540,Synpcc7942_0540,CP000100.1,,524367,524828,+,conserved hypothetical protein,No COG annotation,Q31QU7,Op423
Synpcc7942_0541,Synpcc7942_0541,CP000100.1,,524832,525062,+,conserved hypothetical protein,No COG annotation,Q31QU6,Op423
Synpcc7942_0542,lipA2,CP000100.1,,525360,526253,+,lipoic acid synthetase,Coenzyme transport and metabolism,Q31QU5,Op424
Synpcc7942_0543,Synpcc7942_0543,CP000100.1,,526250,526813,-,conserved hypothetical protein,No COG annotation,Q31QU4,Op425
Synpcc7942_0544,Synpcc7942_0544,CP000100.1,,526862,527161,+,conserved hypothetical protein,Function unknown,Q31QU3,Op426
Synpcc7942_0545,Synpcc7942_0545,CP000100.1,,527143,527835,+,hypothetical protein,No COG annotation,Q31QU2,Op426
